NO_OF_FRAMES	15225
NO_OF_DATA_TYPES	1
FREQUENCY	700
TIME_STAMP	2025-08-16, 19:03:44
DATA_INCLUDED	Velocity
DATA_TYPES	pen_new - 5_vel


0.000
959.401
1032.740
1006.841
857.395
920.576
967.203
975.334
925.394
949.879
936.063
877.283
1001.122
1001.939
918.576
896.201
932.521
962.986
937.430
1015.981
1037.356
1004.085
934.459
834.602
908.923
979.753
1175.400
1202.390
956.603
889.049
919.267
927.954
933.160
921.323
901.784
942.068
903.267
885.093
844.888
867.799
930.359
941.500
936.317
924.677
953.857
978.156
923.805
894.705
948.827
936.130
978.937
974.068
1039.661
932.259
781.822
1057.343
961.035
958.893
1159.385
1136.325
935.737
939.411
1096.431
1021.377
920.547
885.756
783.689
732.124
923.978
936.198
897.359
869.174
884.903
894.324
912.668
910.800
915.039
978.333
1992.574
1141.948
402.813
932.452
845.523
926.694
956.837
862.446
857.144
808.293
829.796
848.324
796.744
815.916
827.481
782.456
809.966
819.603
770.038
738.100
743.258
778.688
801.065
787.859
762.690
750.805
758.298
743.318
732.035
743.075
736.330
698.501
659.783
673.887
666.325
667.763
658.121
607.519
654.296
586.799
577.888
606.861
526.588
522.328
469.738
450.878
459.748
433.562
427.504
347.842
298.399
336.353
430.661
387.923
302.557
339.820
298.321
273.141
274.125
239.243
225.877
200.229
176.582
172.847
151.996
158.774
162.219
140.349
133.618
150.427
160.415
163.230
168.854
172.396
195.008
220.370
232.306
246.531
256.337
280.166
301.617
308.773
321.729
340.017
370.405
361.173
370.950
417.859
412.872
412.402
371.732
401.377
483.928
487.516
490.539
486.539
535.906
554.281
528.169
566.101
642.001
620.043
616.708
651.323
649.272
649.986
649.665
672.615
690.913
662.152
676.820
761.151
746.009
701.807
707.752
716.595
767.392
755.810
719.512
768.016
799.839
766.990
814.716
834.135
803.930
794.398
791.189
802.055
855.463
862.017
788.306
795.986
764.780
787.046
815.850
803.580
964.608
942.993
812.021
805.288
848.523
854.375
812.360
947.763
875.993
830.023
850.244
759.785
767.718
747.812
727.866
771.770
874.511
894.316
862.160
862.167
831.892
825.991
824.398
802.581
806.254
817.349
822.379
782.993
796.553
810.523
790.361
770.471
714.148
733.720
779.212
776.318
735.265
757.421
750.825
714.352
741.174
786.288
752.872
688.508
726.864
704.264
709.673
719.428
677.602
715.702
699.745
673.401
660.375
694.866
683.135
648.183
602.543
579.182
650.125
701.354
652.013
607.706
631.181
632.671
611.618
624.291
607.413
544.437
570.935
570.626
530.798
537.802
555.376
558.468
539.857
532.764
530.021
525.772
480.372
629.955
648.921
443.474
442.536
467.773
405.203
392.963
457.258
389.962
353.319
388.141
410.209
451.249
424.746
348.618
347.547
402.373
377.214
329.131
319.981
336.026
317.670
308.183
326.479
254.755
282.227
327.256
263.145
313.104
260.310
231.707
257.327
229.517
224.503
240.403
237.444
237.690
196.400
201.472
193.141
194.826
251.455
212.148
149.955
200.531
186.255
182.124
192.298
152.473
138.668
136.847
127.468
145.631
142.084
182.145
173.318
141.891
205.819
135.386
118.798
125.297
114.357
93.907
79.624
68.263
155.124
70.180
101.878
74.865
129.366
120.015
90.382
81.370
147.747
152.354
92.936
140.350
169.552
105.992
102.009
73.611
48.227
208.010
179.022
149.482
170.420
54.318
96.534
92.634
114.636
104.196
191.640
90.353
64.163
199.943
106.352
196.671
166.695
88.931
160.141
109.625
88.402
140.351
123.308
140.590
73.147
97.188
120.457
102.807
172.796
105.599
150.810
148.063
81.026
165.341
227.758
172.552
104.675
117.841
134.557
142.752
142.394
91.454
86.405
118.861
125.730
82.572
94.064
121.484
94.892
117.811
125.635
102.086
117.316
107.839
140.547
81.636
83.458
142.362
77.320
90.189
109.301
110.453
105.338
70.011
89.196
132.855
162.320
61.700
89.804
126.167
123.314
116.105
144.408
130.537
96.148
82.780
73.510
55.446
75.932
85.496
107.813
135.915
114.776
83.362
97.683
161.112
171.848
84.851
97.033
164.277
109.352
43.487
109.780
115.430
89.651
121.531
155.643
142.267
124.787
141.029
128.315
97.185
110.010
127.352
103.538
97.688
131.174
160.761
159.110
137.221
214.394
157.985
121.992
214.985
200.227
146.960
186.196
211.625
187.707
214.778
189.050
250.352
223.551
196.067
219.160
196.686
215.810
223.527
243.333
172.714
181.918
252.069
262.966
236.369
185.736
239.377
283.113
246.675
251.897
226.968
249.072
327.767
304.596
271.014
309.474
346.632
290.732
291.199
291.821
299.387
336.792
329.630
286.024
300.264
348.475
331.107
301.395
286.707
289.175
287.810
295.837
335.977
327.545
358.818
340.867
305.902
342.594
273.167
258.268
222.557
225.436
254.240
323.278
428.365
381.463
431.341
476.584
477.564
551.802
607.525
512.437
469.943
521.113
445.356
334.764
308.008
350.465
349.115
400.739
479.838
505.953
537.580
551.618
546.729
554.150
577.194
549.242
603.795
676.505
1173.605
1260.211
656.123
642.097
889.637
727.683
507.653
526.488
620.278
610.272
495.014
558.127
620.849
646.528
642.076
658.206
606.986
541.348
609.269
611.912
577.029
577.507
565.646
558.874
579.943
565.348
555.196
627.680
592.583
567.700
613.391
625.057
658.526
667.932
679.481
670.657
679.447
684.918
670.624
647.232
665.877
655.396
658.858
649.171
602.776
654.405
654.816
622.292
622.191
626.501
649.004
657.743
633.541
650.075
639.600
643.242
618.548
578.590
606.841
621.673
596.785
591.674
620.183
641.319
600.239
555.284
588.668
629.819
617.580
606.555
598.681
591.750
599.092
562.729
588.105
629.480
617.670
565.186
598.272
624.673
524.034
548.904
625.108
614.358
524.712
546.669
580.233
554.067
569.874
567.259
579.549
545.931
553.750
601.022
559.909
570.850
567.315
563.515
583.406
557.865
522.140
523.771
550.246
551.405
525.684
548.446
577.078
525.307
520.861
531.151
517.896
534.420
531.811
513.477
546.265
529.079
511.704
514.467
501.221
509.409
505.605
496.988
507.056
497.753
505.657
507.637
478.411
481.677
487.645
491.958
490.198
482.839
475.658
473.551
476.850
474.615
473.022
479.634
477.766
475.876
482.470
479.599
487.006
472.858
475.337
479.403
482.898
481.435
474.834
478.954
478.364
483.007
475.475
469.976
481.901
471.954
474.868
469.025
470.637
485.116
473.481
484.619
464.923
459.857
480.306
455.491
461.915
478.850
448.050
452.371
471.253
456.098
471.775
453.792
441.609
465.895
431.744
428.196
462.445
433.710
409.462
410.548
408.149
405.870
400.997
423.845
398.188
354.803
387.837
385.802
390.078
420.819
397.142
393.678
368.840
357.839
363.359
392.267
364.121
372.494
377.359
349.381
366.138
342.164
368.899
369.787
345.120
371.900
380.732
327.806
339.858
379.473
373.131
373.266
375.414
352.198
352.560
365.932
364.390
347.452
324.501
346.941
333.921
318.604
356.033
330.829
302.832
310.615
320.055
391.756
398.625
310.659
322.608
317.908
289.058
312.580
305.557
276.509
301.971
296.849
246.178
326.962
278.096
197.014
235.892
226.126
233.846
233.443
213.358
202.232
186.380
260.122
263.389
219.765
213.279
180.828
220.482
223.301
186.674
208.453
190.483
186.054
191.543
185.728
208.188
176.472
171.534
206.513
184.049
156.091
167.348
184.845
148.329
154.665
153.683
150.120
186.859
172.022
138.992
136.217
139.938
133.024
136.731
132.881
134.687
136.358
127.579
133.734
136.679
124.201
125.105
114.886
122.606
148.699
124.957
128.060
117.252
116.660
118.685
129.062
132.496
117.450
127.832
134.444
136.507
137.022
127.449
131.964
146.247
152.188
154.674
129.781
154.368
178.309
125.409
152.925
150.997
163.387
136.545
146.536
154.172
132.901
131.927
141.537
160.293
163.819
154.166
129.283
123.685
138.534
146.430
133.528
119.751
128.726
130.393
126.690
126.777
124.950
118.363
124.575
131.596
131.577
114.421
121.980
126.588
133.199
115.833
127.525
123.431
107.114
108.042
129.246
118.287
133.955
103.758
84.950
94.525
107.648
131.563
106.252
93.947
103.055
97.950
102.552
89.366
82.615
82.815
79.593
56.433
54.172
56.225
45.663
40.658
44.364
35.314
39.506
36.810
52.835
38.713
67.376
58.653
26.688
32.992
63.641
77.295
56.521
69.534
76.251
86.324
52.450
87.601
96.554
42.794
75.389
85.352
72.610
98.545
107.802
61.376
55.505
93.816
72.395
149.155
137.183
104.468
97.550
77.539
86.027
64.006
94.026
73.771
64.133
74.226
80.650
63.503
65.833
65.459
75.556
82.129
53.639
72.146
104.187
61.541
48.315
55.841
58.464
81.808
75.612
64.367
64.100
72.428
70.331
58.660
86.964
80.767
76.609
82.077
94.648
108.818
76.530
78.167
69.350
66.447
77.701
41.068
44.346
36.742
27.978
52.270
33.316
26.233
64.155
49.441
25.645
37.816
21.961
39.505
13.626
29.222
29.320
14.351
32.235
43.593
21.472
28.805
31.036
13.281
24.798
22.929
19.344
8.214
35.238
26.692
12.715
20.889
29.692
24.069
35.655
31.889
42.093
30.968
24.160
40.847
37.088
34.688
29.106
33.303
32.883
9.756
30.231
42.272
35.741
10.088
31.261
21.361
17.482
10.892
29.046
67.301
35.892
13.855
17.445
38.239
27.008
51.186
37.707
41.746
44.077
46.522
22.458
40.536
31.696
40.249
56.004
46.205
16.525
39.682
29.099
14.613
38.936
15.079
16.311
11.239
26.878
15.093
24.661
13.408
21.200
30.580
30.148
37.337
77.525
67.120
16.273
19.300
31.611
32.141
47.611
13.648
8.795
25.091
27.016
46.074
20.768
36.925
31.461
18.897
28.540
28.191
8.934
31.703
21.022
52.366
46.329
38.746
33.666
30.277
15.834
20.022
27.111
27.711
23.069
23.517
22.323
36.717
18.655
27.948
16.711
40.190
26.801
45.796
43.499
37.906
31.345
13.034
36.215
17.758
26.756
9.230
33.209
22.249
41.447
12.224
18.916
21.343
37.179
14.979
26.595
10.849
7.062
15.947
31.623
21.792
11.620
26.786
12.122
27.730
18.531
25.787
32.211
34.829
22.727
20.247
9.679
25.615
12.801
70.945
36.859
12.455
17.115
13.593
19.024
28.394
48.140
15.538
28.338
35.648
22.736
39.808
13.893
44.341
16.105
16.111
64.024
36.812
46.026
33.210
34.391
36.703
25.588
36.988
12.045
8.966
19.785
19.450
31.588
31.054
6.196
45.993
26.685
22.705
10.520
39.208
104.334
77.229
56.478
11.414
29.460
6.486
21.067
23.170
12.628
9.601
26.661
17.071
18.202
11.136
6.710
14.754
22.121
16.395
25.190
20.698
14.805
28.934
20.567
10.681
42.237
6.877
37.095
33.534
30.484
9.940
38.914
18.064
12.349
21.304
20.645
31.000
9.490
5.622
23.244
6.585
29.859
20.329
14.229
27.126
16.119
10.140
9.612
12.798
4.134
20.328
4.752
24.599
20.493
17.852
27.244
34.702
3.234
27.374
34.413
13.594
39.042
67.533
24.681
12.560
75.199
82.529
55.277
76.508
51.150
56.724
70.081
79.972
96.757
88.448
85.820
112.586
89.063
100.785
116.072
95.664
117.732
106.434
130.839
140.571
91.460
94.129
109.968
132.968
130.875
104.743
116.118
120.234
140.118
127.030
113.837
186.101
146.757
123.624
169.202
202.785
153.256
140.733
162.222
107.568
161.215
197.973
140.992
134.513
171.194
169.515
160.219
176.818
161.933
148.169
169.539
173.483
141.039
164.480
182.636
158.338
133.778
164.862
181.547
130.932
139.622
158.800
125.126
129.817
181.783
136.992
126.306
155.589
150.800
145.946
111.835
127.316
143.847
103.357
100.139
123.160
101.468
117.944
147.255
112.052
124.012
129.793
90.025
95.226
109.592
80.579
90.567
131.528
92.144
73.185
132.076
121.716
96.634
112.251
120.430
116.264
86.123
120.309
113.018
68.895
95.617
83.537
96.990
102.593
120.202
88.284
92.269
99.943
95.089
98.111
108.585
107.144
117.001
104.760
96.900
79.201
106.814
107.197
73.079
66.931
69.395
80.067
69.914
54.359
72.198
73.032
104.700
109.988
55.908
38.228
42.185
89.799
83.597
53.168
75.161
81.688
53.727
26.847
28.835
71.705
75.452
33.792
34.811
56.027
49.099
17.963
34.583
51.607
37.393
12.028
23.129
42.098
52.855
36.550
18.243
30.646
35.572
44.398
12.356
25.374
32.652
18.993
20.372
20.393
35.041
25.867
60.358
14.010
40.421
25.225
18.343
56.186
11.295
10.934
22.940
3.803
41.754
8.839
33.850
21.130
22.820
45.396
28.223
18.594
19.721
10.113
21.574
22.987
9.852
9.313
25.380
28.249
13.035
14.656
23.148
37.606
27.562
6.351
37.465
4.016
10.121
44.265
15.534
39.467
42.317
25.756
33.118
11.025
34.578
16.753
20.907
20.594
30.045
49.722
36.886
32.792
48.150
23.751
7.827
35.342
30.391
39.067
7.900
38.035
13.281
29.029
11.582
57.165
44.474
51.102
30.390
50.875
26.809
26.636
13.437
12.258
8.810
18.420
11.907
21.223
31.075
19.188
31.091
42.124
14.800
7.459
21.631
21.981
27.037
14.382
10.867
15.877
12.584
15.527
11.708
21.264
15.342
3.518
4.106
11.216
14.860
18.021
33.222
10.962
41.087
28.163
7.450
4.664
13.088
26.617
16.252
29.326
22.250
35.552
15.293
35.487
16.738
39.756
43.409
41.926
43.835
15.106
9.430
17.668
45.623
48.956
29.475
28.303
6.814
23.237
13.336
17.185
27.716
14.882
27.968
46.159
24.490
26.973
4.912
17.389
6.726
28.013
32.744
5.474
27.132
42.893
15.225
24.318
22.537
11.608
7.044
24.530
26.343
18.072
23.070
36.631
27.124
14.998
23.186
14.472
27.683
24.032
14.482
26.877
15.697
16.259
23.207
22.171
19.516
16.202
5.301
28.169
18.435
22.287
6.088
8.279
12.304
36.514
29.384
23.533
21.545
15.433
40.736
18.497
45.984
13.467
51.756
25.022
10.615
31.953
43.244
23.563
24.920
12.114
26.225
33.077
30.884
35.459
9.141
51.077
9.634
14.427
49.342
30.286
41.537
21.933
13.285
7.383
14.010
18.806
38.237
14.081
24.257
21.419
34.804
45.158
27.431
37.179
61.537
73.500
84.700
64.942
40.122
93.253
137.120
116.159
110.188
127.929
117.981
120.998
133.565
128.664
130.484
133.905
175.494
194.233
186.197
161.660
171.423
202.395
208.847
206.227
185.646
195.507
219.070
210.195
202.118
211.885
210.244
185.460
194.372
214.896
213.538
201.690
199.872
242.705
216.734
242.836
247.680
221.306
236.351
235.584
236.972
202.166
183.559
216.399
275.788
266.879
218.902
191.442
206.816
214.690
229.763
244.780
224.776
209.829
191.698
187.313
174.224
188.763
223.390
198.845
178.311
177.807
185.283
154.824
172.425
218.506
191.896
163.276
164.939
156.783
158.347
178.476
132.444
127.396
157.517
136.131
164.253
168.249
126.928
143.288
154.455
123.592
123.088
141.576
131.967
131.568
131.110
97.645
84.846
162.013
163.791
106.678
97.889
116.305
123.572
93.207
103.955
102.764
122.696
90.280
52.526
109.367
121.946
85.873
55.627
40.834
88.761
200.484
158.875
65.823
92.636
71.836
78.957
35.586
33.422
77.164
57.362
64.488
73.220
53.607
25.287
32.488
54.137
37.531
35.755
25.479
12.350
17.534
32.982
48.102
16.737
35.792
46.647
18.901
40.155
24.547
11.190
12.995
9.485
27.896
13.649
15.197
54.049
27.155
18.527
8.274
46.991
28.745
24.929
28.495
28.847
20.628
39.989
20.596
14.552
18.169
8.827
5.077
41.969
30.677
23.775
45.764
25.463
56.835
28.187
41.269
13.779
16.222
40.442
28.255
41.145
34.935
36.963
17.049
24.093
20.820
26.255
43.744
26.342
36.017
29.257
57.073
39.544
28.129
18.571
9.438
40.724
25.911
30.243
33.911
26.579
28.424
21.148
7.760
9.591
11.218
29.618
17.913
12.319
42.847
24.669
4.318
44.260
10.064
40.040
13.483
29.337
34.961
20.474
15.070
21.411
6.137
18.731
9.348
13.241
23.309
26.039
