NO_OF_FRAMES	15225
NO_OF_DATA_TYPES	3
FREQUENCY	700
TIME_STAMP	2025-08-16, 19:02:09
DATA_INCLUDED	Position
DATA_TYPES	pen_new - 5_pos_X	pen_new - 5_pos_Y	pen_new - 5_pos_Z


255.656	90.193	273.167
254.604	89.795	272.433
253.355	89.876	271.711
252.589	88.563	270.665
251.565	88.310	270.093
250.609	87.800	269.440
249.551	87.386	268.676
248.497	86.948	267.875
247.557	86.250	267.096
246.530	85.916	266.440
245.490	85.371	265.573
244.542	84.902	264.967
243.528	84.506	264.274
242.421	84.032	263.256
241.435	83.596	262.546
240.442	83.130	261.788
239.559	82.530	261.168
238.509	82.100	260.269
237.568	81.520	259.559
236.518	81.194	258.725
235.517	80.607	257.720
234.476	80.181	256.830
233.405	79.963	255.887
232.418	79.599	255.232
231.573	79.048	254.666
230.549	78.623	253.716
229.634	78.055	252.908
228.641	77.210	251.341
227.694	76.674	250.432
226.760	76.231	249.616
225.932	75.694	248.887
224.962	75.313	247.937
224.105	74.757	247.210
223.193	74.260	246.242
222.297	73.848	245.526
221.458	73.296	244.600
220.648	72.693	243.740
219.809	72.211	242.937
219.028	71.624	242.118
218.229	71.152	241.451
217.375	70.670	240.535
216.564	70.188	239.617
215.801	69.581	238.645
214.966	69.130	237.750
214.215	68.574	236.788
213.476	68.019	235.757
212.715	67.470	234.704
212.054	66.781	233.910
211.295	66.277	232.944
210.612	65.711	231.879
209.913	65.184	230.933
209.223	64.625	229.708
208.602	64.018	228.772
207.898	63.498	227.300
207.257	63.018	226.702
206.624	62.504	225.758
206.118	61.764	224.201
205.387	61.481	223.530
204.887	60.779	221.960
204.366	60.131	220.682
203.761	59.809	219.073
203.136	59.388	218.428
202.648	58.817	216.841
202.187	58.223	215.679
201.722	57.665	214.325
201.444	56.779	213.610
201.017	56.220	212.371
200.442	55.834	211.845
200.007	55.286	210.796
199.578	54.783	209.582
199.260	54.095	208.520
198.921	53.504	207.459
198.601	52.880	206.457
198.199	52.422	205.292
197.893	51.856	204.225
197.613	51.326	202.999
197.338	50.770	201.926
197.109	50.242	200.674
196.865	49.744	199.370
197.110	49.004	195.117
196.762	48.470	196.368
196.573	47.986	195.121
196.367	47.572	193.891
196.204	47.062	192.919
196.056	46.697	191.412
195.923	46.236	190.329
195.826	45.759	189.144
195.692	45.310	188.073
195.589	44.850	187.035
195.506	44.448	185.873
195.472	43.982	184.775
195.403	43.595	183.764
195.405	43.151	182.598
195.438	42.667	181.590
195.428	42.261	180.547
195.461	41.883	179.413
195.515	41.476	178.342
195.503	41.143	177.341
195.538	40.760	176.359
195.528	40.471	175.327
195.660	40.092	174.240
195.818	39.718	173.185
195.939	39.430	172.107
196.057	39.116	171.105
196.188	38.899	170.043
196.380	38.604	169.025
196.543	38.378	168.015
196.818	38.052	167.055
196.994	37.888	166.000
197.207	37.676	165.022
197.355	37.534	164.069
197.557	37.358	163.198
197.778	37.202	162.220
197.950	37.104	161.352
198.275	36.899	160.403
198.414	36.839	159.549
198.614	36.738	158.709
198.869	36.698	157.742
199.079	36.548	157.109
199.319	36.542	156.160
199.515	36.459	155.433
199.797	36.372	154.744
199.998	36.362	154.024
200.152	36.303	153.452
200.380	36.263	152.798
200.574	36.222	152.211
200.777	36.217	151.626
200.959	36.227	151.051
201.199	36.093	150.734
201.332	36.103	150.295
201.521	36.126	149.830
201.989	36.030	149.257
202.101	36.076	148.886
202.310	36.107	148.458
202.523	36.180	148.018
202.704	36.186	147.706
202.880	36.318	147.338
203.023	36.401	147.024
203.186	36.489	146.751
203.356	36.586	146.503
203.496	36.681	146.310
203.579	36.847	146.133
203.733	36.963	145.982
203.851	37.074	145.882
203.920	37.301	145.744
204.081	37.413	145.665
204.175	37.586	145.625
204.300	37.725	145.643
204.339	37.984	145.634
204.420	38.161	145.718
204.534	38.395	145.735
204.576	38.590	145.873
204.684	38.804	145.965
204.719	39.046	146.160
204.804	39.378	146.195
204.843	39.658	146.384
204.855	39.904	146.661
204.914	40.191	146.882
204.884	40.477	147.219
204.909	40.805	147.487
204.874	41.139	147.802
204.914	41.421	148.168
204.874	41.799	148.515
204.856	42.139	148.944
204.913	42.459	149.307
204.858	42.858	149.723
204.846	43.154	150.275
204.868	43.559	150.672
204.873	43.891	151.194
204.982	44.344	151.377
204.942	44.745	151.956
204.927	45.112	152.526
204.893	45.502	153.125
204.938	45.830	153.729
204.908	46.307	154.258
204.884	46.649	155.022
204.899	47.056	155.653
204.883	47.532	156.246
204.949	47.812	157.082
204.820	48.255	157.930
204.901	48.643	158.646
204.817	49.133	159.458
204.805	49.578	160.252
204.820	49.998	161.099
204.829	50.502	161.863
204.919	50.851	162.745
204.998	51.303	163.602
204.977	51.819	164.464
205.100	52.270	165.225
205.139	52.762	166.144
205.187	53.190	167.193
205.295	53.684	168.060
205.370	54.257	168.881
205.470	54.794	169.741
205.609	55.315	170.618
205.713	55.835	171.655
205.876	56.404	172.463
206.060	56.921	173.366
206.186	57.478	174.351
206.326	58.037	175.342
206.544	58.560	176.223
206.645	59.107	177.385
206.818	59.718	178.288
207.023	60.241	179.346
207.258	60.805	180.231
207.470	61.393	181.240
207.740	61.989	182.133
207.960	62.511	183.357
208.210	63.171	184.242
208.561	63.662	185.197
208.914	64.120	186.185
209.263	64.741	186.963
209.477	65.469	187.894
209.865	66.005	188.826
210.168	66.667	189.727
210.354	67.245	191.239
210.708	67.934	192.042
211.070	68.522	193.039
211.441	69.167	193.841
211.796	69.719	195.018
212.266	70.294	195.843
212.709	70.794	196.862
